"","Farmer_ID","Districts","Paddy_transplanting_date","Paddy_harvesting_date","Drought_faced","Status","days_between"
"90",1358877429324,"Banka",2022-08-02,2022-11-07,1,1,97
"91",1368252912246,"Banka",2022-08-01,2022-11-09,1,1,100
"92",1378210015813,"Banka",2022-08-19,2022-12-01,1,1,104
"93",1387217752054,"Banka",2022-08-05,2022-12-08,1,1,125
"94",1397903747796,"Banka",2022-08-12,2022-11-08,1,1,88
"95",1419939860302,"Banka",2022-08-02,2022-11-27,1,1,117
"96",1449504336387,"Rohtas",2022-07-31,2022-12-04,0,1,126
"97",1459631716862,"Rohtas",2022-07-24,2022-12-01,0,1,130
"98",1469801285286,"Rohtas",2022-07-28,2022-12-29,0,1,154
"99",1476204730956,"Rohtas",2022-08-05,2022-11-28,0,1,115
"100",1487050170221,"Buxar",2022-07-03,2022-11-28,0,1,148
"101",1499661548394,"Buxar",2022-07-14,2022-11-27,0,1,136
"102",1507488107205,"Buxar",2022-07-09,2022-12-16,0,1,160
"103",1516203377808,"Buxar",2022-07-17,2022-11-26,0,1,132
"104",1539931700673,"Buxar",2022-07-15,2022-12-04,0,1,142
"105",1548521992716,"Buxar",2022-07-15,2022-11-21,0,1,129
"106",1558709723377,"Buxar",2022-07-20,2022-11-25,0,1,128
"107",1579162350294,"Buxar",2022-07-02,2022-11-27,0,1,148
"108",1597782022054,"Buxar",2022-07-05,2022-12-02,0,1,150
"109",1609934620239,"Buxar",2022-07-03,2022-12-07,1,1,157
"110",1637970344380,"Buxar",2022-07-14,2022-12-16,0,1,155
"111",1649801446466,"Buxar",2022-07-12,2022-11-29,0,1,140
"112",1657321896910,"Rohtas",2022-07-13,2022-11-27,0,1,137
"113",1669631268733,"Rohtas",2022-07-16,2022-11-21,0,1,128
"114",1679123407554,"Rohtas",2022-07-26,2022-12-23,0,1,150
"115",1709304192149,"Rohtas",2022-07-18,2022-11-28,0,1,133
"116",1718789258815,"Rohtas",2022-07-22,2022-11-07,0,1,108
"117",1729801552218,"Banka",2022-08-27,2022-11-09,0,1,74
"118",1739472524724,"Banka",2022-08-25,2022-11-06,1,1,73
"119",1759431284450,"Banka",2022-08-29,2022-12-19,1,1,112
"120",1767667908310,"Banka",2022-08-17,2022-11-09,1,1,84
"121",1818294186224,"Buxar",2022-07-12,2022-12-05,0,1,146
"122",1829576560178,"Buxar",2022-07-28,2022-12-08,0,1,133
"123",1839006725735,"Rohtas",2022-07-12,2022-11-08,0,1,119
"124",1868521671227,"Rohtas",2022-07-16,2022-12-25,0,1,162
"125",1878809068988,"Rohtas",2022-07-26,2022-11-26,0,1,123
"126",1887488127960,"Rohtas",2022-07-20,2022-12-02,0,1,135
"127",1899572351731,"WestChamparan",2022-06-26,2022-10-20,1,1,116
"128",1909955112424,"WestChamparan",2022-06-26,2022-11-18,1,1,145
"129",1919162063309,"WestChamparan",2022-07-05,2022-11-07,1,1,125
"130",1927091258229,"WestChamparan",2022-06-23,2022-10-25,1,1,124
"131",1937368864475,"WestChamparan",2022-07-01,2022-11-21,1,1,143
"132",1947759997412,"WestChamparan",2022-06-30,2022-10-11,1,1,103
"133",1959939108870,"WestChamparan",2022-06-25,2022-10-17,1,1,114
"134",1968521679182,"WestChamparan",2022-07-03,2022-11-04,1,1,124
"135",1978757327116,"WestChamparan",2022-07-05,2022-11-06,1,1,124
"136",1987070524498,"WestChamparan",2022-06-24,2022-11-11,1,1,140
"137",1999304011790,"WestChamparan",2022-07-14,2022-11-01,1,1,110
"138",2008521188006,"WestChamparan",2022-07-04,2022-10-14,1,1,102
"139",2016205957383,"WestChamparan",2022-07-05,2022-11-10,1,1,128
"140",2038969732511,"Rohtas",2022-07-12,2022-12-27,0,1,168
"141",2047488334317,"Arah",2022-07-11,2022-11-05,0,1,117
"142",2057004057218,"Arah",2022-07-10,2022-11-19,0,1,132
"143",2068271460532,"Arah",2022-07-02,2022-12-17,0,1,168
"144",2077667627898,"Arah",2022-07-06,2022-11-22,0,1,139
"145",2098210948414,"WestChamparan",2022-07-06,2022-10-17,1,1,103
"146",2117220875415,"WestChamparan",2022-07-06,2022-11-17,1,1,134
"147",2129661734302,"WestChamparan",2022-07-10,2022-11-07,1,1,120
"148",2136200856729,"WestChamparan",2022-07-01,2022-10-28,1,1,119
"149",2148521180687,"WestChamparan",2022-07-11,2022-11-13,1,1,125
"150",2168235799782,"WestChamparan",2022-07-24,2022-11-06,1,1,105
"151",2187493004736,"Arah",2022-07-04,2022-11-18,0,1,137
"152",2198409740870,"Arah",2022-07-13,2022-10-23,0,1,102
"153",2209507429522,"EastChamparan",2022-07-10,2022-11-10,1,1,123
"154",2219304216719,"WestChamparan",2022-06-30,2022-10-22,1,1,114
"155",2226204864752,"WestChamparan",2022-06-25,2022-11-13,1,1,141
"156",2237870604108,"WestChamparan",2022-06-25,2022-11-09,1,1,137
"157",2249162589405,"WestChamparan",2022-07-17,2022-10-21,1,1,96
"158",2277765986857,"Banka",2022-08-02,2022-12-18,1,1,138
"159",2287979972602,"Banka",2022-08-16,2022-11-28,0,1,104
"160",2308002961349,"Banka",2022-08-09,2022-12-27,0,1,140
"161",2319262256639,"Banka",2022-08-15,2022-12-21,1,1,128
"162",2329576256859,"EastChamparan",2022-07-08,2022-11-07,1,1,122
"163",2337250743716,"EastChamparan",2022-07-18,2022-10-19,1,1,93
"164",2358757864179,"EastChamparan",2022-06-22,2022-11-19,1,1,150
"165",2379117410266,"Samastipur",2022-07-01,2022-11-08,1,1,130
"166",2407479906601,"Buxar",2022-07-13,2022-12-04,0,1,144
"167",2467294911239,"Buxar",2022-07-03,2022-12-18,0,1,168
"168",2477091375527,"Buxar",2022-07-10,2022-12-02,0,1,145
"169",2489472621991,"Buxar",2022-07-12,2022-12-12,0,1,153
"170",2499113402565,"Buxar",2022-07-03,2022-12-26,0,1,176
"171",2517250874673,"Buxar",2022-07-19,2022-12-18,0,1,152
"172",2529709500414,"Samastipur",2022-06-26,2022-10-19,1,1,115
"173",2539525853364,"Samastipur",2022-07-11,2022-10-29,1,1,110
"174",2548789547705,"EastChamparan",2022-07-06,2022-11-10,1,1,127
"175",2559006486673,"EastChamparan",2022-07-05,2022-10-29,1,1,116
"176",2587633028469,"EastChamparan",2022-07-10,2022-11-01,1,1,114
"177",2599456801664,"EastChamparan",2022-07-09,2022-10-17,1,1,100
"178",2609079259460,"EastChamparan",2022-08-13,2022-12-06,1,1,115
"179",2618757848679,"EastChamparan",2022-08-14,2022-11-29,1,1,107
"180",2629525211651,"EastChamparan",2022-07-10,2022-11-23,1,1,136
"181",2637488159326,"EastChamparan",2022-07-10,2022-12-30,1,1,173
"182",2646287031015,"EastChamparan",2022-07-10,2022-11-10,1,1,123
"183",2677348850139,"EastChamparan",2022-07-03,2022-11-08,1,1,128
"184",2689162515444,"EastChamparan",2022-07-30,2022-12-04,1,1,127
"185",2698298989681,"EastChamparan",2022-06-26,2022-11-02,1,1,129
"186",2707404902534,"EastChamparan",2022-07-26,2022-11-10,1,1,107
"187",2719006689880,"EastChamparan",2022-07-13,2022-11-11,1,1,121
"188",2729304446193,"EastChamparan",2022-07-10,2022-11-15,1,1,128
"189",2739955054509,"EastChamparan",2022-07-31,2022-11-17,1,1,109
"190",2749934742139,"EastChamparan",2022-07-18,2022-10-17,1,1,91
"191",2779199038208,"EastChamparan",2022-07-28,2022-11-02,0,1,97
"192",2789931778491,"EastChamparan",2022-07-31,2022-11-18,1,1,110
"193",2799974132205,"EastChamparan",2022-07-20,2022-11-01,1,1,104
"194",2808873034006,"EastChamparan",2022-07-31,2022-11-15,0,1,107
"195",2819546478167,"EastChamparan",2022-07-28,2022-12-06,0,1,131
"196",2827654849592,"EastChamparan",2022-07-16,2022-11-08,1,1,115
"197",2839523389039,"EastChamparan",2022-07-11,2022-10-27,0,1,108
"198",2849708516474,"EastChamparan",2022-07-18,2022-10-01,0,1,75
"199",2859999999999,"EastChamparan",2022-07-19,2022-10-25,1,1,98
"200",2876209375055,"EastChamparan",2022-07-30,2022-11-21,1,1,114
"201",2889142395072,"EastChamparan",2022-07-21,2022-11-26,1,1,128
"202",2908092630623,"EastChamparan",2022-07-03,2022-11-11,1,1,131
"203",2916201094358,"EastChamparan",2022-07-06,2022-11-03,1,1,120
"204",2929997066319,"EastChamparan",2022-07-01,2022-11-11,1,1,133
"205",2939887044526,"EastChamparan",2022-07-17,2022-11-05,1,1,111
"206",2946203498923,"EastChamparan",2022-07-01,2022-11-15,1,1,137
"207",2979199336971,"EastChamparan",2022-07-13,2022-11-11,1,1,121
"208",2988521083270,"EastChamparan",2022-07-12,2022-10-19,1,1,99
"209",2997562092769,"EastChamparan",2022-07-02,2022-10-20,1,1,110
"210",3019910255912,"EastChamparan",2022-07-13,2022-10-16,1,1,95
"211",3039934152372,"Buxar",2022-07-26,2022-12-05,0,1,132
"212",3067352998917,"Buxar",2022-07-13,2022-12-11,0,1,151
"213",3097079106628,"Buxar",2022-07-26,2022-12-04,0,1,131
"214",3119971599152,"EastChamparan",2022-06-25,2022-11-03,1,1,131
"215",3129771178951,"Buxar",2022-07-18,2022-12-18,1,1,153
"216",3136202858225,"Buxar",2022-07-11,2022-12-02,1,1,144
"217",3149430264347,"Buxar",2022-07-13,2022-11-26,1,1,136
"218",3157070806235,"Buxar",2022-07-13,2022-11-17,1,1,127
"219",3169676971052,"Buxar",2022-07-11,2022-12-03,0,1,145
"220",3179155386462,"Buxar",2022-08-05,2022-12-06,0,1,123
"221",3198651185521,"Arah",2022-07-01,2022-11-30,0,1,152
"222",3209006458925,"Arah",2022-07-18,2022-12-18,0,1,153
"223",3226201114804,"Arah",2022-07-14,2023-01-02,0,1,172
"224",3237976511147,"Arah",2022-07-16,2022-12-23,0,1,160
"225",3268002223588,"Arah",2022-07-24,2022-12-29,0,1,158
"226",3278936838238,"Arah",2022-07-31,2022-12-22,0,1,144
"227",3289534138619,"Arah",2022-07-31,2023-01-04,0,1,157
"228",3298529881482,"Arah",2022-07-28,2022-11-19,0,1,114
"229",3308434784574,"Arah",2022-07-23,2022-12-21,0,1,151
"230",3319155616112,"Arah",2022-07-25,2022-11-17,0,1,115
"231",3339905397514,"Gaya",2022-07-26,2022-12-16,1,1,143
"232",3359939389839,"Gaya",2022-08-04,2022-10-23,1,1,80
"233",3369931523099,"Gaya",2022-08-01,2022-10-12,1,1,72
"234",3379631326640,"Gaya",2022-08-01,2022-11-08,1,1,99
"235",3389871057872,"Gaya",2022-07-31,2022-12-17,1,1,139
"236",3398826489536,"Gaya",2022-08-07,2022-11-12,1,1,97
"237",3408271165815,"Arah",2022-07-18,2022-12-26,0,1,161
"238",3417070119343,"Arah",2022-07-18,2022-12-11,0,1,146
"239",3447070939219,"Arah",2022-07-09,2022-11-21,0,1,135
"240",3457644023184,"Arah",2022-07-29,2022-12-18,0,1,142
"241",3489570793734,"Arah",2022-07-13,2022-11-27,0,1,137
"242",3507292997604,"Arah",2022-07-20,2022-11-28,0,1,131
"243",3517416285032,"Arah",2022-07-20,2022-12-06,0,1,139
"244",3549934417583,"Banka",2022-08-20,2022-11-01,1,1,73
"245",3559199339495,"Vaishali",2022-07-17,2022-11-03,1,1,109
"246",3569006760213,"Vaishali",2022-07-18,2022-10-20,1,1,94
"247",3576203647430,"Vaishali",2022-07-15,2022-11-15,1,1,123
"248",3619939263164,"Vaishali",2022-07-13,2022-10-16,1,1,95
"249",3636203819420,"Samastipur",2022-07-02,2022-10-23,1,1,113
"250",3689905800725,"Madhepura",2022-07-08,2022-12-06,1,1,151
"251",3708002768529,"Madhepura",2022-07-03,2022-11-03,1,1,123
"252",3729162218552,"Madhepura",2022-07-11,2022-10-16,1,1,97
"253",3747070747877,"Madhepura",2022-07-29,2022-11-19,1,1,113
"254",3789570296898,"Madhepura",2022-07-13,2022-12-27,1,1,167
"255",3807763016684,"Madhepura",2022-07-18,2022-10-27,1,1,101
"256",3819523842310,"Madhepura",2022-07-11,2022-11-01,1,1,113
"257",3828084324061,"Vaishali",2022-07-14,2022-11-05,1,1,114
"258",3839608593049,"Vaishali",2022-07-08,2022-11-21,1,1,136
"259",3847739436158,"Vaishali",2022-07-16,2022-11-29,1,1,136
"260",3858757979833,"Vaishali",2022-07-17,2022-11-02,1,1,108
"261",3869934647396,"Vaishali",2022-07-19,2022-11-03,1,1,107
